№   	Дата/время         	Температура 	Осадки (мм)
1   	2026-05-16T00:00   	16.1        	0.0
2   	2026-05-16T01:00   	15.9        	0.0
3   	2026-05-16T02:00   	15.4        	0.0
4   	2026-05-16T03:00   	15.7        	0.0
5   	2026-05-16T04:00   	15.8        	0.0
6   	2026-05-16T05:00   	15.7        	0.0
7   	2026-05-16T06:00   	16.2        	0.0
8   	2026-05-16T07:00   	18.4        	0.0
9   	2026-05-16T08:00   	19.2        	0.0
10  	2026-05-16T09:00   	20.5        	0.0
11  	2026-05-16T10:00   	22.1        	0.0
12  	2026-05-16T11:00   	23.5        	0.0
13  	2026-05-16T12:00   	24.3        	0.0
14  	2026-05-16T13:00   	25.0        	0.0
15  	2026-05-16T14:00   	25.6        	0.0
16  	2026-05-16T15:00   	26.0        	0.0
17  	2026-05-16T16:00   	25.7        	0.0
18  	2026-05-16T17:00   	25.0        	0.0
19  	2026-05-16T18:00   	24.4        	0.0
20  	2026-05-16T19:00   	23.3        	0.0
21  	2026-05-16T20:00   	21.7        	0.0
22  	2026-05-16T21:00   	20.6        	0.0
23  	2026-05-16T22:00   	19.4        	0.0
24  	2026-05-16T23:00   	18.3        	0.0
